X,Y,SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO
-99.07473573,19.41633409,STC Metro,Pantitlán,1,1,STC0101,5014,Terminal / Transbordo,Venustiano Carranza,1984
-99.08228881,19.41192046,STC Metro,Zaragoza,1,2,STC0102,5020,Intermedia,Venustiano Carranza,1969
-99.09021039,19.41647846,STC Metro,Gómez Farías,1,3,STC0103,5007,Intermedia,Venustiano Carranza,1969
-99.09625873,19.41994196,STC Metro,Boulevard Puerto Aéreo,1,4,STC0104,5003,Intermedia,Venustiano Carranza,1969
-99.10277436,19.42335534,STC Metro,Balbuena,1,5,STC0105,5001,Intermedia,Venustiano Carranza,1969
-99.10979927,19.42685435,STC Metro,Moctezuma,1,6,STC0106,5012,Intermedia,Venustiano Carranza,1969
-99.11426095,19.43005885,STC Metro,San Lázaro,1,7,STC0107,5017,Transbordo,Venustiano Carranza,1969
-99.12090955,19.42954014,STC Metro,Candelaria,1,8,STC0108,5004,Transbordo,Venustiano Carranza,1969
-99.12502542,19.42548757,STC Metro,Merced,1,9,STC0109,5011,Intermedia,Venustiano Carranza,1969
-99.13263861,19.4259235,STC Metro,Pino Suárez,1,10,STC0110,5015,Transbordo,Cuauhtémoc,1969
-99.13783046,19.42639351,STC Metro,Isabel la Católica,1,11,STC0111,5009,Intermedia,Cuauhtémoc,1969
-99.14340629,19.42694819,STC Metro,Salto del Agua,1,12,STC0112,5016,Transbordo,Cuauhtémoc,1969
-99.14948115,19.42699788,STC Metro,Balderas,1,13,STC0113,5002,Transbordo,Cuauhtémoc,1969
-99.15459795,19.42566111,STC Metro,Cuauhtémoc,1,14,STC0114,5006,Intermedia,Cuauhtémoc,1969
-99.16328888,19.4236518,STC Metro,Insurgentes,1,15,STC0115,5008,Intermedia,Cuauhtémoc,1969
-99.17111907,19.42184992,STC Metro,Sevilla,1,16,STC0116,5018,Intermedia,Cuauhtémoc,1969
-99.17641673,19.4207463,STC Metro,Chapultepec,1,17,STC0117,5005,Intermedia,Cuauhtémoc / Miguel Hidalgo,1969
-99.18198383,19.41295164,STC Metro,Juanacatlán,1,18,STC0118,5010,Intermedia,Miguel Hidalgo,1970
-99.18763653,19.4025138,STC Metro,Tacubaya,1,19,STC0119,5019,Transbordo,Miguel Hidalgo,1970
-99.20040475,19.39828238,STC Metro,Observatorio,1,20,STC0120,5013,Terminal,Álvaro Obregón,1972
-99.21584249,19.45959321,STC Metro,Cuatro Caminos,2,1,STC0201,5045,Terminal,Estado de México - Naucalpan de Juárez,1984
-99.20294913,19.45863856,STC Metro,Panteones,2,2,STC0202,5052,Intermedia,Miguel Hidalgo,1984
-99.18823093,19.45937601,STC Metro,Tacuba,2,3,STC0203,5059,Transbordo,Miguel Hidalgo,1970
-99.18149577,19.45725389,STC Metro,Cuitláhuac,2,4,STC0204,5046,Intermedia,Miguel Hidalgo,1970
